country_id,ISO3,countryname,YEAR,region,regionname,incomelevel,incomelevelname,lendingtype,lendingtypename,GFD_01,GFD_02,GFD_03,GFD_04,GFD_05,GFD_06,WDI_01,WDI_02,WDI_03,WDI_04,WDI_05,WDI_06,WDI_07,time_trend,time_trend2,POP,PIP,IP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,PEP,EP,EP_1,EP_2,EP_3,EP_4,POP_R,PARTY_CODE,PARTY_NAME,POP_z,PEP_z,PIP_z,dollarized,quadrant,quad_1,quad_2,quad_3,quad_4
ABW,ABW,Aruba,2002,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,53.926769,,0,,94.17749,,50.791214,,-.9449535,3.3152468,133.23077,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2003,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,57.026291,,0,,96.467644,,55.012516,,1.1105046,3.6563652,132.7943,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2004,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,53.03474,,0,,97.647537,,51.785229,,7.2937279,2.5291295,132.43092,,2,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2005,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,53.604599,,0,,100.8612,,54.060699,,-.38313767,3.3977869,145.05028,,3,9,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2006,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,52.469212,,0,,102.6946,,53.884121,,1.1274115,3.6080244,141.04263,,4,16,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2007,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,49.865391,,0,,103.7333,,51.727257,,3.0895443,5.3925676,139.97231,,5,25,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2008,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,55.139259,,0,,91.873909,,50.658459,,1.8357552,8.955987,139.11015,,6,36,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2009,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,65.35717,,0,,85.524803,,55.89304,,-11.677741,-2.1354287,137.55658,,7,49,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2010,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,67.812927,,0,,86.708893,,58.800659,,-2.7334569,2.0781407,135.46466,,8,64,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2011,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,62.995979,,0,,89.287727,,56.250435,,3.3692372,4.3162975,154.43779,,9,81,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2012,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,68.740868,,0,,85.376717,,58.685902,,-1.0407999,.62747198,156.6452,,10,100,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ABW,ABW,Aruba,2013,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified,,62.986938,,0,,93.9272,,59.163673,,6.4314828,-2.3720653,161.89128,,11,121,,,,,,,,,,,,,,,,,,,,,,0,,,,,
