year,iso,aco,ch,che,cheb,chech,chee,chefs,chenfd,cmp,dcsfd,dd1,dvc,dvp,dvpdp,dvt,emp,fca,icapt,lco,opprft,pi,revt,foreign,firms
1988,ARE,3.143,25.075,160.463,,-8.586,,,,,,24.036,27.5,,,27.5,,0,474.368,70.91200000000001,,57.453,317.09,0,1
1989,ARE,6.857,23.309,118.944,119.581,-44.501,75.08,,,,,24.514,42.35,,,42.35,,0,484.044,73.328,,63.861,347.122,0,1
1990,ARE,0,32.028,159.616,,38.641,,,,,,24.514,42.35,,,42.35,,0,492.826,73.386,,66.101,355.744,0,1
1991,ARE,0,40.817,174.923,113.721,22.592,136.313,,,,,26.389,48.4,,,48.4,,0,487.423,93.54600000000001,,66.836,369.821,0,1
1993,ARE,0,52.851,235.19,173.37,61.821,235.19,,,,,26.389,60.5,,,60.5,,0,573.373,94.94499999999999,,125.052,499.914,0,1
1994,ARE,0,43.735,215.752,235.19,-19.438,215.752,,,,,21.389,60.5,,,60.5,,0,636.36,95.651,,131.808,513.832,0,1
1995,ARE,0,63.514,251.389,215.752,35.637,251.389,,,,,22.014,66.55,,,66.55,,0,712.754,107.468,,153.827,589.021,0,1
1996,ARE,0,375.353,378.437,251.389,123.964,375.353,,,,,22.161,66.55,,,66.55,,0,789.187,109.387,,166.493,645.3,0,1
1997,ARE,1.071,186.39,199.724,187.6765,48.20866666666667,240.0915,,,,,12.4265,75,,,75,1.088,.0346666666666667,515.571,48.09833333333333,-2.731,68.64133333333334,270.3946666666666,.33333334,3
1998,ARE,.6395999999999999,124.7813333333333,222.0078,205.019,75.0424,263.35325,,,,,16.827,42.5,,0,42.5,1.037,.0898333333333333,651.9784999999999,44.4276,-67.199,39.34616666666667,183.2076666666667,.16666667,6
1999,ARE,10.08975,132.7529285714286,144.603875,160.894,-9.320250000000003,152.0345714285714,72.7655,,,,14.54525,45.524625,,0,45.524625,.9370000000000001,-.158,728.1538571428572,39.667375,-.004,70.52828571428572,248.5397142857143,.071428575,14
2000,ARE,5.960444444444445,218.8090952380952,166.126,174.10325,2.03111111111111,175.403625,7378.545,,0,,14.4938,894.3236666666667,0,0,894.3236666666667,1.0285,1.3185,7091.31442857143,20.38677777777778,3.245,583.6532857142856,917.6312380952381,.047619049,21
2001,ARE,5.072333333333333,450.36696875,454.7970666666667,427.2511428571428,21.69193333333334,450.4434285714286,8331.92525,,0,,25.534875,775.9473571428571,0,0,775.9473571428571,1.01,2.985761904761905,6747.579906249999,441.1959333333334,-1.835,492.336875,1152.94325,.03125,32
2002,ARE,2.4095,585.1651282051283,505.656,490.8807692307691,-1.623357142857145,488.6915384615385,1041.307388888889,,0,,76.20742105263159,67.62190000000001,0,0,67.62190000000001,1.2835,6.518409090909092,1333.252538461538,412.4736428571428,20.864,166.2455384615385,518.8553333333332,.025641026,39
2003,ARE,1.98332,439.0760144927536,390.6998800000001,289.4394347826087,80.67354166666668,372.2894347826087,742.8667647058824,,0,,50.82151428571429,61.40194285714285,0,0,61.40194285714285,.7435,5.568024390243902,1088.722507246378,273.2203749999999,37.304,138.0448115942029,462.2051594202899,.028985508,69
2004,ARE,36.24748484848484,462.2706071428573,293.9501515151516,270.7780333333333,6.448843749999998,277.7359,809.5505869565217,,0,,22.73426829268293,73.64180555555555,0,0,73.64180555555555,.4902608695652175,5.49464,1181.18019047619,267.3475,57.059,183.8411190476191,543.1886071428569,.047619049,84
2005,ARE,74.31362499999999,919.1442421052631,643.4831999999999,334.2901944444445,149.9353076923077,458.5108717948719,1625.88548,,0,,58.21292452830188,81.39140909090908,0,.1411111111111111,81.39140909090908,.7622777777777777,6.115070175438596,2414.680431578947,291.4240256410258,,397.2031631578948,900.7963999999998,.031578947,95
2006,ARE,41.66313953488373,1441.466195,1024.515593023256,450.0646923076923,450.1774634146342,859.08805,2999.376981818183,,,,89.372431372549,194.1288750000001,,.1814242424242424,194.1288750000001,2.674227272727272,8.109710526315789,3381.869345000001,604.5321162790698,,399.546415,1133.1218,.039999999,100
2007,ARE,34.48808888888889,1667.112076923077,794.9052222222221,796.6375116279069,-140.3086818181818,638.2234090909092,5512.615859649122,,,,281.3142982456141,273.8070434782609,0,.2155277777777778,273.8070434782609,2.969,10.92575806451613,5374.026384615384,774.2835555555556,,527.9445000000001,1802.341432692307,.028846154,104
2008,ARE,41.37482608695652,1316.236513761468,691.0950217391303,604.1615555555555,-30.84058695652172,560.187043478261,3699.713508064516,,,,476.2853983050846,299.3426341463414,0,.348027027027027,299.3426341463414,1.593772727272727,19.914640625,5976.505211009173,931.3540217391303,,541.7909587155965,2093.705834862385,.064220183,109
2009,ARE,81.54518749999998,1664.006765765765,1154.0755,568.2047446808511,7.711395833333326,564.0786458333333,4301.928803278691,,,,499.5444531250001,158.0821041666667,0,.6889459459459459,158.0821041666667,2.462227272727273,7.89957971014493,6864.75382882883,1014.718229166667,,393.8331081081081,2112.694072072073,.054054055,111
2010,ARE,164.146,1450.506275862069,846.0098163265307,536.5738571428573,167.3364285714285,703.9103061224488,4669.044910447761,,,,644.2851304347826,179.118825,0,.8590277777777778,179.118825,3.2434,12.98408450704225,6544.50729310345,975.3827916666669,,220.1553017241378,1948.952413793103,.060344826,116
2011,ARE,131.95684,1575.48025,648.2739000000003,703.6429183673469,-195.2840612244898,508.3588571428572,4720.174214285715,,,,368.0744923076924,204.374914893617,0,13.201,204.374914893617,3.514846153846154,12.54634328358209,6242.967308333333,962.4442916666666,,377.1165000000001,2146.843508333333,.058333334,120
2012,ARE,154.836625,2050.174086776859,742.4790833333333,547.6011956521741,67.24057291666669,618.4999891304348,5507.117219178082,,,,373.5383606557377,260.0331886792453,0,4.929,260.0331886792453,2.8750625,12.31696875,6720.381322314048,985.0489895833333,,452.915541322314,2192.854851239669,.049586777,121
2013,ARE,119.7223617021276,1999.992853658538,930.2539574468085,619.7196304347826,48.0197659574468,668.7833043478261,5635.61047368421,,,,304.007111111111,328.2401372549019,0,14.037,328.2401372549019,.9799,10.55467692307692,6973.750008130082,955.4044680851064,,503.7167723577235,2244.605073170732,.048780486,123
2014,ARE,163.52708,2310.717412698412,1119.07934,641.1874042553192,136.0449591836735,751.0613673469387,6622.098052631581,,,,212.6124769230769,434.2635769230769,,7.092,434.2635769230769,.9991428571428571,20.77730555555555,7713.066944444442,1148.334270833334,,662.8376825396824,2488.56519047619,.063492067,126
2015,ARE,170.6692599999999,2542.734685483869,1151.29162,541.7513829787235,-65.11189795918364,454.5272040816326,6905.51331081081,,,,222.4233538461539,426.2895135135135,,15.597,426.2895135135135,3.175666666666667,18.53861194029851,7334.069846774194,1325.954285714286,,624.9435564516129,2650.517685483872,.056451611,124
2016,ARE,123.383,2720.55631923077,1224.212418181818,429.9150185185185,-29.61364814814815,400.3013703703704,7327.609779999998,,,,228.9400405405406,332.4717142857143,,6.713,332.4717142857143,2.502733333333333,28.33902777777778,7750.788165384614,1197.267,,416.3947230769229,2576.911992307691,.07692308,130
2017,ARE,125.0655535714286,3001.169210526317,1347.440732142857,390.1371071428571,7.934178571428566,398.0713035714287,7697.378623376621,,,,338.479647887324,422.3358,19.5355,,403.1548333333333,2.9139375,40.40904109589041,8191.481308270678,1283.62324074074,,633.812030075188,2588.03402255639,.075187966,133
2018,ARE,127.2813787878788,2839.227386206897,1232.267060606061,370.6074307692309,185.3020923076922,555.9095692307693,7922.158632911391,,,,348.7985875000001,478.4642,24.0245,12.034,456.8242142857142,5.598999999999998,45.93854761904761,7842.625448275857,1169.563545454546,,614.9402482758621,2733.770613793104,.068965517,145
2019,ARE,161.4336184210526,2388.560331168831,1099.722131578947,496.6515270270272,-138.3725866666667,356.4085270270269,8427.399576923077,,,,252.17754,607.2412571428571,54.966,4.197,591.9002777777778,6.078411764705883,42.95033333333334,8541.176370129873,1159.62784,,657.7795714285712,2841.230616883116,.058441557,154
2020,ARE,168.8707972972973,3344.07398013245,1336.672567567567,370.7288888888888,401.2845270270271,772.4319726027397,9987.731194805197,,,,320.3203861386139,535.1801999999999,,2.967,535.1801999999999,6.25,30.43456521739131,10169.81142384106,1467.435108108108,,462.2924238410595,2761.374145695363,.039735101,151
2021,ARE,282.7607560975609,3696.069139240507,1737.596073170732,654.6786753246756,482.8273124999999,1156.31748051948,10390.66882894737,,,,282.1782702702702,588.2486842105263,,,588.2486842105263,10.19166666666667,14.11393137254902,9842.362981012659,1399.084151898734,,808.169518987342,3348.513683544304,.044303797,158
2022,ARE,270.3013820224718,4008.863825153374,2699.995623595505,1085.269530864197,122.4241306818182,1147.488162790698,12036.13958108107,,,,422.2133418803419,664.5779393939392,,,664.5779393939392,12.65992857142857,13.08794545454546,11323.22864110429,1928.660172413793,,1243.411334355828,4110.711889570552,.049079753,163
2023,ARE,367.4169166666667,3956.255314465408,3058.927083333334,1229.0157875,138.4959156626506,1355.758296296296,13607.91906666667,,,,443.2840357142856,814.0467567567568,,,814.0467567567568,15.09255555555556,40.5956568627451,12850.25755974842,1875.531602409639,,1523.297779874214,5444.102276729561,.050314464,159
2024,ARE,487.3454146341464,4275.084872611465,4318.745646341463,1386.902455696202,427.6288950617282,1802.5404125,14609.36948,,,,778.1876818181818,789.8051860465118,,,773.6100714285716,12.56463636363636,33.55412244897959,15403.15306050956,2959.661228395063,,1767.940140127388,6754.023901273884,.038216561,157
