Country Code,Series Code,year,Value
AFG,FP.CPI.TOTL.ZG,1960,
AFG,FP.CPI.TOTL.ZG,1961,
AFG,FP.CPI.TOTL.ZG,1962,
AFG,FP.CPI.TOTL.ZG,1963,
AFG,FP.CPI.TOTL.ZG,1964,
AFG,FP.CPI.TOTL.ZG,1965,
AFG,FP.CPI.TOTL.ZG,1966,
AFG,FP.CPI.TOTL.ZG,1967,
AFG,FP.CPI.TOTL.ZG,1968,
AFG,FP.CPI.TOTL.ZG,1969,
AFG,FP.CPI.TOTL.ZG,1970,
AFG,FP.CPI.TOTL.ZG,1971,
AFG,FP.CPI.TOTL.ZG,1972,
AFG,FP.CPI.TOTL.ZG,1973,
AFG,FP.CPI.TOTL.ZG,1974,
AFG,FP.CPI.TOTL.ZG,1975,
AFG,FP.CPI.TOTL.ZG,1976,
AFG,FP.CPI.TOTL.ZG,1977,
AFG,FP.CPI.TOTL.ZG,1978,
AFG,FP.CPI.TOTL.ZG,1979,
AFG,FP.CPI.TOTL.ZG,1980,
AFG,FP.CPI.TOTL.ZG,1981,
AFG,FP.CPI.TOTL.ZG,1982,
AFG,FP.CPI.TOTL.ZG,1983,
AFG,FP.CPI.TOTL.ZG,1984,
AFG,FP.CPI.TOTL.ZG,1985,
AFG,FP.CPI.TOTL.ZG,1986,
AFG,FP.CPI.TOTL.ZG,1987,
AFG,FP.CPI.TOTL.ZG,1988,
AFG,FP.CPI.TOTL.ZG,1989,
AFG,FP.CPI.TOTL.ZG,1990,
AFG,FP.CPI.TOTL.ZG,1991,
AFG,FP.CPI.TOTL.ZG,1992,
AFG,FP.CPI.TOTL.ZG,1993,
AFG,FP.CPI.TOTL.ZG,1994,
AFG,FP.CPI.TOTL.ZG,1995,
AFG,FP.CPI.TOTL.ZG,1996,
AFG,FP.CPI.TOTL.ZG,1997,
AFG,FP.CPI.TOTL.ZG,1998,
AFG,FP.CPI.TOTL.ZG,1999,
AFG,FP.CPI.TOTL.ZG,2000,
AFG,FP.CPI.TOTL.ZG,2001,
AFG,FP.CPI.TOTL.ZG,2002,
AFG,FP.CPI.TOTL.ZG,2003,
AFG,FP.CPI.TOTL.ZG,2004,
AFG,FP.CPI.TOTL.ZG,2005,12.68626872
AFG,FP.CPI.TOTL.ZG,2006,6.78459655
AFG,FP.CPI.TOTL.ZG,2007,8.680570785
AFG,FP.CPI.TOTL.ZG,2008,26.41866415
AFG,FP.CPI.TOTL.ZG,2009,-6.811161089
AFG,FP.CPI.TOTL.ZG,2010,2.178537524
AFG,FP.CPI.TOTL.ZG,2011,11.80418581
AFG,FP.CPI.TOTL.ZG,2012,6.441212809
AFG,FP.CPI.TOTL.ZG,2013,7.385771784
AFG,FP.CPI.TOTL.ZG,2014,4.673996035
AFG,FP.CPI.TOTL.ZG,2015,-0.661709165
AFG,FP.CPI.TOTL.ZG,2016,4.383891955
AFG,FP.CPI.TOTL.ZG,2017,4.975951506
AFG,FP.CPI.TOTL.ZG,2018,0.626149149
AFG,FP.CPI.TOTL.ZG,2019,2.302372515
AFG,FP.CPI.TOTL.ZG,2020,5.601887915
AFG,FP.CPI.TOTL.ZG,2021,5.133203408
AFG,FP.CPI.TOTL.ZG,2022,13.71210237
AFG,FP.CPI.TOTL.ZG,2023,-4.644708708
AFG,FP.CPI.TOTL.ZG,2024,-6.601185641
AFG,FP.CPI.TOTL.ZG,2025,
ALB,FP.CPI.TOTL.ZG,1960,
ALB,FP.CPI.TOTL.ZG,1961,
ALB,FP.CPI.TOTL.ZG,1962,
ALB,FP.CPI.TOTL.ZG,1963,
ALB,FP.CPI.TOTL.ZG,1964,
ALB,FP.CPI.TOTL.ZG,1965,
ALB,FP.CPI.TOTL.ZG,1966,
ALB,FP.CPI.TOTL.ZG,1967,
ALB,FP.CPI.TOTL.ZG,1968,
ALB,FP.CPI.TOTL.ZG,1969,
ALB,FP.CPI.TOTL.ZG,1970,
ALB,FP.CPI.TOTL.ZG,1971,
ALB,FP.CPI.TOTL.ZG,1972,
ALB,FP.CPI.TOTL.ZG,1973,
ALB,FP.CPI.TOTL.ZG,1974,
ALB,FP.CPI.TOTL.ZG,1975,
ALB,FP.CPI.TOTL.ZG,1976,
ALB,FP.CPI.TOTL.ZG,1977,
ALB,FP.CPI.TOTL.ZG,1978,
ALB,FP.CPI.TOTL.ZG,1979,
ALB,FP.CPI.TOTL.ZG,1980,
ALB,FP.CPI.TOTL.ZG,1981,
ALB,FP.CPI.TOTL.ZG,1982,
ALB,FP.CPI.TOTL.ZG,1983,
ALB,FP.CPI.TOTL.ZG,1984,
ALB,FP.CPI.TOTL.ZG,1985,
ALB,FP.CPI.TOTL.ZG,1986,
ALB,FP.CPI.TOTL.ZG,1987,
ALB,FP.CPI.TOTL.ZG,1988,
ALB,FP.CPI.TOTL.ZG,1989,
ALB,FP.CPI.TOTL.ZG,1990,
ALB,FP.CPI.TOTL.ZG,1991,
ALB,FP.CPI.TOTL.ZG,1992,226.0054213
ALB,FP.CPI.TOTL.ZG,1993,85.00475124
ALB,FP.CPI.TOTL.ZG,1994,22.56505269
ALB,FP.CPI.TOTL.ZG,1995,7.793218538
ALB,FP.CPI.TOTL.ZG,1996,12.72547781
ALB,FP.CPI.TOTL.ZG,1997,33.18027438
ALB,FP.CPI.TOTL.ZG,1998,20.64285887
ALB,FP.CPI.TOTL.ZG,1999,0.389437654
ALB,FP.CPI.TOTL.ZG,2000,0.050018136
ALB,FP.CPI.TOTL.ZG,2001,3.10758827
ALB,FP.CPI.TOTL.ZG,2002,7.770525834
ALB,FP.CPI.TOTL.ZG,2003,0.484002612
