spec,test_type,null_hypothesis,coefficient,t_stat,p_value,ci_low,ci_high,n_clusters,ebal_target,reps
"Baseline","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", -.001914,  -0.4889,   0.6646,-.0083688, .0058317,54,,9999
"Baseline","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",-.0015429,  -0.4250,   0.7120,-.0075283, .0052407,54,,9999
"Baseline","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0003097,   0.1116,   0.9263,-.0048744,  .004884,54,,9999
"Baseline","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0123137,  -2.9027,   0.0108,-.0216391,-.0043871,54,,9999
"Excluding no-treated regions","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)",-.0017887,  -0.4368,   0.6940, -.008541, .0072142,36,,9999
"Excluding no-treated regions","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",-.0018312,  -0.5135,   0.6630,-.0077109, .0056165,36,,9999
"Excluding no-treated regions","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0006367,   0.2382,   0.8461,-.0043589, .0053384,36,,9999
"Excluding no-treated regions","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0083267,  -2.1688,   0.0719,-.0176114,-.0007301,36,,9999
"Left populists","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)",-.0159341,  -1.6556,   0.2097,-.0400829, .0026971,50,,9999
"Left populists","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",-.0122269,  -1.1758,   0.5579,-.0396078, .0060607,50,,9999
"Left populists","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)",-.0067827,  -0.7462,   0.7138, -.031257,   .01262,50,,9999
"Left populists","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0203214,  -3.5444,   0.0001,-.0341851,-.0083482,50,,9999
"Right populists","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", .0001687,   0.0371,   0.9774,-.0073336, .0116724,51,,9999
"Right populists","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)", .0005279,   0.1595,   0.8857,-.0052916, .0088934,51,,9999
"Right populists","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0010286,   0.7115,   0.6062,-.0023082, .0043654,51,,9999
"Right populists","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0093818,  -2.2758,   0.0748,-.0184438,-.0007729,51,,9999
"Asia","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", .0072127,   1.0444,   0.2062,-.0013256, .0528489,11,,9999
"Asia","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",  .001464,   1.2581,   0.3947,-.0019902, .0072209,11,,9999
"Asia","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0041937,   4.0906,   0.0791, .0011505, .0065607,11,,9999
"Asia","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0062175,  -1.4116,   0.3547,-.0158267, .0158871,11,,9999
"Asia (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-4 (H0: coefficient on dX0 = 0)", .0043414,   0.5139,   0.6295,-.0094853, .0658658,11,,9999
"Asia (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-3 (H0: coefficient on dX1 = 0)",-.0008442,  -0.6544,   0.5693,-.0072255, .0017084,11,,9999
"Asia (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-2 (H0: coefficient on dX2 = 0)", .0016118,   2.4622,   0.1404,-.0009789, .0029071,11,,9999
"Asia (excl. Thailand)","robustness_att","no average treatment effect in periods 0-3, excluding Thailand (H0: coefficient on post_x = 0)",-.0044891,  -0.9871,   0.4627,-.0196819, .0220256,11,,9999
"Europe","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", .0040268,   0.3042,   0.7881,-.0244737, .0324725,29,,9999
"Europe","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",  .008527,   0.8221,   0.5527,-.0156489, .0309078,29,,9999
"Europe","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)",-.0026169,  -0.7318,   0.5420,  -.00812, .0052447,29,,9999
"Europe","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0218901,  -3.9585,   0.0081,-.0328308,-.0109494,29,,9999
"High Income","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", -.000049,  -0.0107,   0.9941,-.0090808, .0099863,37,,9999
"High Income","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)", .0027701,   0.7330,   0.6102, -.004291,  .010662,37,,9999
"High Income","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)",-.0017884,  -1.0042,   0.4291,-.0058991, .0019308,37,,9999
"High Income","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)",-.0146518,  -3.3837,   0.0020,-.0236947,-.0075126,37,,9999
"High Income (excl. United States)","robustness_pretrend","no differential pre-trend at t=-4 (H0: coefficient on dX0 = 0)", .0005289,   0.0829,   0.9476,-.0128003, .0145597,37,,9999
"High Income (excl. United States)","robustness_pretrend","no differential pre-trend at t=-3 (H0: coefficient on dX1 = 0)", .0026271,   0.4719,   0.8176, -.007776, .0148661,37,,9999
"High Income (excl. United States)","robustness_pretrend","no differential pre-trend at t=-2 (H0: coefficient on dX2 = 0)",-.0026324,  -1.4669,   0.2770, -.006183, .0015098,37,,9999
"High Income (excl. United States)","robustness_att","no average treatment effect in periods 0-3, excluding United States (H0: coefficient on post_x = 0)",-.0203138,  -3.8632,   0.0023,-.0301392,-.0104885,37,,9999
"Middle Income","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", .0002332,   0.0285,   0.9728,-.0214854, .0216291,16,,9999
"Middle Income","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",-.0040074,  -0.5193,   0.9652,-.0369325, .0061735,16,,9999
"Middle Income","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0027912,   0.4131,   0.7435,-.0213425, .0161879,16,,9999
"Middle Income","att","no average treatment effect in periods 0-3 (H0: coefficient on post = 0)", -.009401,  -1.8048,   0.2071,-.0230679, .0071163,16,,9999
"Middle Income (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-4 (H0: coefficient on dX0 = 0)",-.0047533,  -0.3495,   0.7913,-.0541364, .0380852,16,,9999
"Middle Income (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-3 (H0: coefficient on dX1 = 0)",-.0074829,  -0.6652,   0.8811,-.0702563, .0156737,16,,9999
"Middle Income (excl. Thailand)","robustness_pretrend","no differential pre-trend at t=-2 (H0: coefficient on dX2 = 0)",-.0042579,  -0.4708,   0.9646,-.0521882, .0224561,16,,9999
"Middle Income (excl. Thailand)","robustness_att","no average treatment effect in periods 0-3, excluding Thailand (H0: coefficient on post_x = 0)", .0007102,   0.1185,   0.9187,-.0211508, .0165188,16,,9999
"Eastern Europe","pretrend","no differential pre-trend at t=-4 (H0: coefficient on d0 = 0)", .0097254,   0.7444,   0.6002,-.0146278, .0732503,7,,9999
"Eastern Europe","pretrend","no differential pre-trend at t=-3 (H0: coefficient on d1 = 0)",  .011163,   1.1889,   0.5337,-.0137862, .0539923,7,,9999
"Eastern Europe","pretrend","no differential pre-trend at t=-2 (H0: coefficient on d2 = 0)", .0005342,   0.1246,   0.9002,-.0151711, .0197666,7,,9999
