variable,mean_control_raw,sd_control_raw,n_control,mean_treat,sd_treat,n_treat,mean_control_ebal_slope,sd_control_ebal_slope,mean_control_ebal_level,sd_control_ebal_level
log_ch,2.893428983137365,3.540849293406505,72668,1.458854282044585,3.671193367339939,1261,2.872701821782027,3.55716347706755,1.811607177564467,4.064645613361217
log_ch_l1,2.832583848815653,3.512399777703939,72622,1.637348313154312,3.746732107265085,1312,2.764720315837842,3.558606238784646,1.648505385530914,4.059629589290971
log_ch_l2,2.768304480477986,3.495313829884339,72522,1.63004227700488,3.693416795066453,1362,2.768621749882403,3.502465486676907,1.678221721917792,3.975950853943011
log_ch_l3,2.706958055947541,3.481318943966482,72346,1.60941129335719,3.623165829366913,1359,2.806845415283679,3.448016869184816,1.638741532636784,3.94486463869796
log_ch_l4,2.590088362520838,3.483588283931123,71994,1.608048019847528,3.598741993456303,1360,2.7431767558861,3.427985565543472,1.652815026793453,3.880376532607223
polity2,7.396671024161558,4.264499199066334,88736,8.958815028901734,.8132366871715893,1384,7.134760469487028,4.675910136822276,8.632834320156238,3.457103219549713
polity2_l1,7.760086098088713,3.774683938302831,88736,8.908959537572255,.7961080772534519,1384,7.581950291491174,4.150739888318968,8.892050047371093,2.925800837066906
polity2_l2,8.082525694194013,3.205749793541087,88736,9.240606936416185,.7806767417486641,1384,7.98737045456078,3.521619672143693,9.237026539274082,1.918919919583721
polity2_l3,8.026911287414352,3.257630553756286,88736,9.240606936416185,.7806767417486641,1384,7.930173281268576,3.580654894052552,9.235612836604171,1.934324172180162
polity2_l4,8.307045618463757,2.522399198941008,88736,9.239161849710984,.7820461082996493,1384,8.304007258190131,2.743364544076457,9.246220454258962,1.780165640476109
